Actual,Predicted,Probability
0.0,1.0,0.7828232505405422
0.0,1.0,0.6402544853389323
0.0,1.0,0.629989586204036
0.0,1.0,0.6107938202548885
0.0,1.0,0.562317942128045
0.0,1.0,0.8030498857053754
0.0,1.0,0.5848973557130384
0.0,1.0,0.5528666815542607
0.0,1.0,0.7566650248770523
0.0,1.0,0.5431233166223991
0.0,1.0,0.5318659850091135
0.0,1.0,0.5405850329884303
0.0,0.0,0.3461446015772957
0.0,0.0,0.3015002366525362
0.0,0.0,0.48189631102663577
0.0,1.0,0.5504296855252514
0.0,0.0,0.4209259188745037
0.0,1.0,0.52282906271501
0.0,1.0,0.5843275126161795
0.0,1.0,0.6692562439424493
0.0,1.0,0.694409713540365
0.0,1.0,0.7624609823652219
0.0,1.0,0.5620106216691507
0.0,1.0,0.7746886942198391
0.0,1.0,0.8187419623484956
0.0,1.0,0.5330877285685602
0.0,0.0,0.47309387353817145
0.0,1.0,0.7734065068895685
0.0,1.0,0.6331552520022603
0.0,1.0,0.7615443575220773
0.0,0.0,0.490458017147949
0.0,1.0,0.5477038469287425
0.0,0.0,0.3917863483690365
0.0,1.0,0.6890908047313957
0.0,1.0,0.6521748627624891
0.0,1.0,0.5620757831422457
0.0,1.0,0.6002894511806748
0.0,1.0,0.6314751416326898
0.0,1.0,0.6062167893854401
0.0,1.0,0.7894579664345526
0.0,0.0,0.3987101784471752
0.0,1.0,0.6188891737001351
0.0,1.0,0.5133022818854304
0.0,0.0,0.47532875320455487
0.0,0.0,0.3456014869073533
0.0,1.0,0.5622972800976721
0.0,1.0,0.5517750159736126
0.0,0.0,0.48364516167399635
0.0,1.0,0.6229502646457689
0.0,1.0,0.6364781177013945
0.0,0.0,0.492508171561816
0.0,0.0,0.4353552115446738
0.0,0.0,0.40057844814441174
0.0,1.0,0.8873259552982142
0.0,1.0,0.8340354407856605
0.0,1.0,0.5353887597174553
0.0,0.0,0.486410398347079
0.0,1.0,0.713563189028422
0.0,0.0,0.36374392114447274
0.0,0.0,0.46720314083958264
0.0,1.0,0.7403804396470457
0.0,0.0,0.4851245652889036
0.0,1.0,0.7010887663740297
0.0,1.0,0.5529089650814489
0.0,1.0,0.5687354820047978
0.0,1.0,0.6682747113898287
0.0,0.0,0.32863431277186295
0.0,0.0,0.3618634020227581
0.0,1.0,0.6586900335346908
0.0,0.0,0.43946902086683814
0.0,1.0,0.6401088076893415
0.0,0.0,0.482785221574311
0.0,1.0,0.729804204751838
0.0,1.0,0.5270669716223356
0.0,1.0,0.765746190150453
0.0,0.0,0.4282024414334657
0.0,0.0,0.34296486496929984
0.0,1.0,0.5008616091062825
0.0,0.0,0.4397137763950418
0.0,0.0,0.40227610988368395
0.0,1.0,0.560234731077393
0.0,0.0,0.38417709702385816
0.0,1.0,0.5770415146179485
0.0,0.0,0.4017548884210065
0.0,1.0,0.677798421690405
0.0,1.0,0.5136287188563279
0.0,1.0,0.6075314841123918
0.0,1.0,0.5050712507118716
0.0,1.0,0.736526744249476
0.0,0.0,0.4818206609251436
0.0,1.0,0.5139291630560294
0.0,1.0,0.6386501629727133
0.0,1.0,0.8014444420954906
0.0,1.0,0.6505927212036179
0.0,1.0,0.5253099540718197
0.0,1.0,0.5641996125015863
0.0,1.0,0.5123341913027916
0.0,1.0,0.780219224087368
0.0,1.0,0.5675095814131608
0.0,1.0,0.5091508178265662
0.0,0.0,0.45464565213545627
0.0,1.0,0.6065349686062232
0.0,1.0,0.6016207709526911
0.0,0.0,0.4757085427302809
0.0,0.0,0.3489500496539775
0.0,1.0,0.7133599597639042
0.0,1.0,0.566495461729753
0.0,0.0,0.31502039403920146
0.0,1.0,0.6166044315643564
0.0,1.0,0.6846857856433319
0.0,1.0,0.5331899078260197
0.0,1.0,0.7025965594597114
0.0,0.0,0.47380099519691543
0.0,0.0,0.4754904118131799
0.0,0.0,0.35373870798466667
0.0,1.0,0.5286129290198203
0.0,1.0,0.7199198923235647
0.0,0.0,0.47352790047957144
0.0,1.0,0.6974091073639568
0.0,1.0,0.631666009229091
0.0,0.0,0.4431600969809872
0.0,1.0,0.5820386238897393
0.0,1.0,0.6708833110869977
0.0,0.0,0.46740497548428794
0.0,0.0,0.4244074279749528
0.0,0.0,0.414411673767055
0.0,1.0,0.6159226309146679
0.0,1.0,0.8531261394375513
0.0,0.0,0.40528638710881365
0.0,1.0,0.5152429472553627
0.0,1.0,0.5124201579067827
0.0,1.0,0.6892355613727353
0.0,1.0,0.7795678761713688
0.0,1.0,0.6028196211631234
0.0,0.0,0.4936069973203642
0.0,0.0,0.40858952285967337
0.0,1.0,0.6699002816417138
0.0,1.0,0.7364595971534135
0.0,1.0,0.5849969208551957
0.0,0.0,0.49388207853426713
0.0,1.0,0.6354443696840526
0.0,0.0,0.46892188878646485
0.0,0.0,0.4867541209797868
0.0,0.0,0.4541260593561955
0.0,0.0,0.3276066765554829
0.0,0.0,0.33305040667430097
0.0,1.0,0.551371232765213
0.0,0.0,0.3738636924006463
0.0,1.0,0.5209055113832178
0.0,1.0,0.6786547833540435
0.0,1.0,0.6895076293156611
0.0,0.0,0.372802330803079
0.0,0.0,0.45763091419986585
0.0,1.0,0.592448296057316
0.0,1.0,0.6088837858689677
0.0,1.0,0.558915711686549
0.0,1.0,0.5788950928863678
0.0,0.0,0.43147352954414264
0.0,0.0,0.39268397179672515
0.0,0.0,0.45479852995685344
0.0,0.0,0.2507826240206617
0.0,1.0,0.7337270106049381
0.0,1.0,0.584991399684502
0.0,0.0,0.4411364173841767
0.0,1.0,0.5513999881285492
0.0,0.0,0.3958872634602312
0.0,1.0,0.7082152385656625
0.0,0.0,0.44158710059741857
0.0,0.0,0.4001708826231285
0.0,1.0,0.5625330754511577
0.0,1.0,0.5655362358738131
0.0,1.0,0.6713068745311674
0.0,1.0,0.5428294858980894
0.0,1.0,0.5505361459981227
0.0,1.0,0.5734436073162871
0.0,0.0,0.415859750892201
0.0,1.0,0.5948987622357395
0.0,1.0,0.502573765360138
0.0,1.0,0.6908836989048797
0.0,0.0,0.40832852925002805
0.0,1.0,0.5996238473518138
0.0,0.0,0.45125150880285864
0.0,1.0,0.8054576316808794
0.0,0.0,0.45844658529816734
0.0,0.0,0.45412753242139675
0.0,1.0,0.54561553299459
0.0,1.0,0.6590531922418519
0.0,0.0,0.48257265823448653
0.0,1.0,0.5733998501686013
0.0,1.0,0.5649713149506262
0.0,1.0,0.7517364227224211
0.0,0.0,0.49592207479324235
0.0,1.0,0.7359077535078394
0.0,1.0,0.5060642987681873
0.0,1.0,0.7558643166197516
0.0,1.0,0.5374300592436975
0.0,1.0,0.7203576685760354
0.0,1.0,0.6110897313958248
0.0,0.0,0.41448348731796514
0.0,0.0,0.4975828722030517
0.0,1.0,0.7913666478536102
0.0,1.0,0.6426225869796843
0.0,1.0,0.5152078977543593
0.0,0.0,0.4328354307530856
0.0,1.0,0.675260922504035
0.0,1.0,0.7088476378053205
0.0,1.0,0.5973418818860459
0.0,1.0,0.6387736794828492
0.0,1.0,0.5270676124504232
0.0,1.0,0.6229032171520352
0.0,1.0,0.5980370185503056
0.0,0.0,0.4277731583212332
0.0,1.0,0.7157227202989719
0.0,1.0,0.8818520092983928
0.0,1.0,0.522051259294533
0.0,1.0,0.6785088173344905
0.0,1.0,0.8088034393714875
0.0,1.0,0.558100225904156
0.0,0.0,0.4992038600572353
0.0,1.0,0.5359286179296656
0.0,1.0,0.6141702028846072
0.0,1.0,0.6927286988440358
0.0,0.0,0.3748470877081887
0.0,1.0,0.5300600410528048
0.0,0.0,0.3559677848528441
0.0,0.0,0.2942967819591296
0.0,1.0,0.5658383885868797
0.0,1.0,0.5815673074982641
0.0,1.0,0.6354781172657022
0.0,1.0,0.6242131637488536
0.0,1.0,0.656039612560037
0.0,1.0,0.8022723241414424
0.0,1.0,0.7240719568436761
0.0,1.0,0.5699026866863541
0.0,1.0,0.5733379680524113
0.0,1.0,0.5343207388227169
0.0,1.0,0.5313839308733631
0.0,0.0,0.4957177027389232
0.0,0.0,0.4696781390633918
0.0,1.0,0.788758393337634
0.0,0.0,0.494000744442471
0.0,1.0,0.5614355910566178
0.0,1.0,0.8014796585173762
0.0,1.0,0.792699849348814
0.0,1.0,0.8312163126345041
0.0,1.0,0.6590484028345892
0.0,1.0,0.5965495686887425
0.0,0.0,0.4727648662904983
0.0,1.0,0.6346493122893508
0.0,1.0,0.5619844463881722
0.0,1.0,0.5340641670482941
0.0,1.0,0.5896594743434178
0.0,1.0,0.7760848063192743
0.0,0.0,0.4205423913622489
0.0,0.0,0.4344815138329618
0.0,1.0,0.5787718204051576
0.0,1.0,0.7234746471780737
0.0,0.0,0.2350335877560422
